"","ID","centre","name","staffreduced","staffJDCOVID","staffJDRedeploy","staffGOCOVID","staffGORedeploy","staffConstCOVID","staffConstRedeploy","staffCNSCOVID","staffCNSRedeploy","staffJDred","staffGOred","staffCONred","staffCNSred","MDTchange","MDTvirual","MDTvirualF2F","MDTsuspend","MDTlessfreq","MDTlessattd","redperc","outpatientremote","theatrered","surgcasered","medoncred","clinoncred","radiored","pathred","pallcapred","gonvrred","mdtworkred","movepperlist","moveclinic","moveotheractivity","movenotyet","centralhub","minaccesssurg","newname"
"47",11550771438,"Centre","site-37","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",TRUE,FALSE,FALSE,FALSE,TRUE,75,90,NA,25,0,0,0,0,NA,NA,30,TRUE,FALSE,FALSE,NA,TRUE,FALSE,26
"50",11550560452,"Centre","site-38","Yes",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,30,100,20,20,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,30,90,0,15,NA,NA,0,NA,0,80,30,TRUE,FALSE,FALSE,NA,TRUE,TRUE,26
"20",11593204541,"Centre","site-39","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,0,95,80,60,0,0,0,0,NA,50,20,FALSE,FALSE,FALSE,NA,TRUE,TRUE,27
"52",11550484327,"Centre","site-40","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,20,80,30,30,NA,NA,NA,NA,NA,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,28
"73",11549781012,"Centre","site-41","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,10,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
"54",11550315423,"Centre","site-42","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",TRUE,TRUE,FALSE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"59",11550104769,"Unit","site-43","Yes",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,40,30,40,20,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,0,50,70,20,0,30,0,30,NA,10,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,30
"15",11593523514,"Unit","site-44","Yes",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,0,NA,0,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,0,80,70,50,NA,NA,NA,0,NA,60,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,31
"69",11549833870,"Centre","site-45","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,0,80,30,30,NA,0,0,0,0,70,50,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,32
"34",11553614730,"Centre","site-46","Yes",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,20,0,50,0,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,50,70,60,50,NA,NA,NA,NA,NA,NA,30,TRUE,FALSE,NA,NA,TRUE,TRUE,33
"40",11551847896,"Centre","site-47","Yes",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,20,NA,50,NA,"Yes",TRUE,TRUE,FALSE,FALSE,TRUE,NA,80,75,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,TRUE,33
"56",11550199326,"Centre","site-48","Yes",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,25,NA,50,33,"Yes",TRUE,TRUE,FALSE,FALSE,TRUE,75,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
"60",11550060490,"Centre","site-49","Yes",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,25,NA,50,NA,"Yes",TRUE,FALSE,FALSE,FALSE,TRUE,50,95,10,10,NA,NA,NA,NA,NA,10,20,TRUE,FALSE,TRUE,NA,TRUE,TRUE,33
"28",11557075494,"Centre","site-50","Yes",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,40,NA,1,1,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,NA,25,0,5,NA,NA,0,0,NA,NA,0,TRUE,FALSE,TRUE,NA,FALSE,TRUE,34
"48",11550662133,"Unit","site-51","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,30,70,20,20,0,0,0,0,0,30,0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,35
"53",11550465206,"Unit","site-52","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,2,80,15,20,NA,NA,0,0,NA,10,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,35
"45",11551298142,"Centre","site-53","Yes",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,50,NA,30,50,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,0,30,66,50,NA,NA,NA,0,NA,70,50,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,36
"72",11549791528,"Centre","site-54","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,NA,50,50,30,NA,NA,0,0,0,80,50,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,36
"67",11549907187,"Centre","site-55","Yes",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,40,100,0,0,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,50,70,0,20,NA,NA,NA,NA,NA,50,20,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,38
"58",11550143339,"Unit","site-56","Yes",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,NA,30,NA,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,40,95,100,100,NA,NA,NA,NA,NA,NA,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,37
"16",11593468408,"Unit","site-57","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,50,90,95,5,0,0,0,0,0,75,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,39
